id_atendimento,id_cliente,id_funcionario,unidade,servico,valor,data,forma_pagamento
65,679,17,Asa Norte,Pigmentação,86.84,2025-03-12,Pix
66,831,4,Ceilândia,Sobrancelha,20.77,2024-12-21,Cartão
67,1541,20,Ceilândia,Corte,51.41,2025-01-27,Dinheiro
68,1484,34,Ceilândia,Corte,66.45,2024-12-06,Pix
69,1112,19,Taguatinga,Hidratação,101.62,2024-11-02,Pix
70,2764,9,Ceilândia,Hidratação,79.04,2026-03-06,Cartão
71,2206,21,Ceilândia,Barba,44.35,2025-08-06,Cartão
72,1250,33,Asa Sul,Sobrancelha,24.1,2026-04-04,Pix
73,2101,8,Asa Norte,Corte,49.2,2025-05-24,Dinheiro
74,576,30,Asa Norte,Pigmentação,86.98,2024-11-14,Cartão
75,409,30,Asa Sul,Sobrancelha,23.08,2025-08-10,Dinheiro
76,1649,24,Asa Sul,Barba,44.29,2024-12-13,Pix
77,404,19,Ceilândia,Hidratação,113.36,2025-04-11,Pix
78,2363,16,Asa Norte,Barba,32.03,2026-02-14,Pix
79,1174,25,Asa Sul,Corte,57.37,2025-03-11,Dinheiro
80,2386,31,Asa Norte,Sobrancelha,30.86,2025-11-09,Cartão
81,1184,16,Ceilândia,Sobrancelha,26.97,2024-05-23,Dinheiro
82,517,6,Taguatinga,Sobrancelha,30.67,2024-06-23,Dinheiro
83,1282,20,Taguatinga,Hidratação,97.31,2024-08-19,Cartão
84,1955,16,Taguatinga,Barba,29.9,2024-05-18,Pix
85,1205,31,Ceilândia,Corte,41.75,2025-09-02,Cartão
86,1612,14,Asa Norte,Pigmentação,70.23,2025-04-04,Cartão
87,193,24,Asa Norte,Pigmentação,67.56,2026-01-25,Pix
88,744,30,Asa Sul,Barba,43.52,2024-07-22,Pix
89,1744,13,Taguatinga,Corte,42.04,2025-10-04,Dinheiro
90,266,10,Ceilândia,Sobrancelha,30.7,2026-03-04,Cartão
91,142,30,Ceilândia,Sobrancelha,34.51,2024-09-28,Pix
92,1487,36,Asa Sul,Barba,31.13,2025-05-13,Pix
93,223,7,Taguatinga,Pigmentação,88.24,2024-11-15,Cartão
94,768,38,Ceilândia,Barba,26.03,2025-01-19,Cartão
95,582,19,Taguatinga,Pigmentação,74.53,2024-07-18,Cartão
96,2090,31,Taguatinga,Pigmentação,66.27,2025-05-08,Cartão
97,25,19,Taguatinga,Sobrancelha,29.96,2024-08-07,Pix
98,967,32,Ceilândia,Hidratação,79.66,2024-10-30,Pix
99,331,22,Taguatinga,Barba,42.08,2026-03-29,Dinheiro
100,1112,33,Taguatinga,Sobrancelha,29.7,2024-10-28,Dinheiro
101,426,23,Asa Sul,Barba,27.91,2025-07-17,Pix
102,1200,14,Asa Sul,Hidratação,86.11,2024-08-30,Cartão
103,1303,23,Taguatinga,Hidratação,91.58,2025-07-03,Cartão
104,524,28,Taguatinga,Sobrancelha,28.57,2025-01-14,Cartão
105,1997,32,Asa Sul,Sobrancelha,22.15,2024-10-21,Pix
106,193,18,Asa Sul,Barba,28.42,2026-01-29,Pix
107,2613,22,Asa Norte,Barba,25.98,2025-10-02,Dinheiro
108,1911,6,Ceilândia,Corte,48.69,2024-11-10,Dinheiro
109,1582,13,Asa Norte,Barba,41.64,2024-08-01,Pix
110,2044,5,Asa Sul,Corte,60.26,2025-12-18,Cartão
111,1265,20,Ceilândia,Pigmentação,82.66,2025-01-07,Dinheiro
112,1493,19,Ceilândia,Hidratação,106.05,2025-05-10,Pix
113,1155,10,Taguatinga,Pigmentação,85.55,2025-08-23,Pix
114,918,23,Asa Sul,Pigmentação,64.56,2025-11-17,Pix
115,372,37,Taguatinga,Pigmentação,75.57,2025-03-18,Dinheiro
116,2271,23,Ceilândia,Sobrancelha,34.02,2026-03-01,Cartão
117,2292,19,Asa Sul,Pigmentação,88.42,2024-08-13,Cartão
118,1794,9,Ceilândia,Hidratação,65.37,2025-07-05,Cartão
119,240,22,Asa Sul,Pigmentação,50.29,2026-01-22,Dinheiro
120,2213,5,Taguatinga,Sobrancelha,28.71,2024-05-24,Cartão
121,1004,13,Asa Norte,Barba,37.03,2025-05-18,Dinheiro
122,636,40,Asa Sul,Corte,48.77,2025-02-22,Cartão
123,73,3,Asa Sul,Pigmentação,76.83,2026-05-07,Dinheiro
124,464,29,Asa Norte,Barba,40.25,2024-06-20,Cartão
125,2204,36,Asa Norte,Barba,36.9,2026-01-23,Pix
126,2477,20,Taguatinga,Sobrancelha,22.46,2024-08-27,Pix
127,2096,27,Asa Norte,Corte,54.38,2024-09-09,Pix
128,1841,14,Asa Norte,Barba,28.02,2025-01-30,Pix
129,1698,28,Taguatinga,Corte,41.84,2025-11-18,Cartão
130,771,38,Asa Sul,Barba,34.51,2025-05-11,Dinheiro
131,2488,12,Asa Sul,Sobrancelha,27.99,2026-01-17,Dinheiro
132,259,32,Asa Norte,Hidratação,119.22,2024-11-23,Cartão
133,819,37,Taguatinga,Barba,28.63,2026-02-20,Cartão
134,2802,10,Asa Sul,Hidratação,77.13,2025-09-14,Dinheiro
135,2675,29,Asa Sul,Sobrancelha,20.49,2025-08-17,Dinheiro
136,387,21,Asa Norte,Sobrancelha,25.96,2026-01-23,Pix
137,2607,11,Taguatinga,Pigmentação,63.07,2025-07-08,Cartão
138,1444,7,Asa Norte,Sobrancelha,26.35,2025-09-23,Pix
139,1591,17,Asa Norte,Hidratação,91.01,2024-08-29,Cartão
140,908,38,Asa Norte,Corte,64.45,2026-03-24,Dinheiro
141,129,23,Asa Norte,Hidratação,101.91,2024-06-22,Pix
142,2920,39,Asa Norte,Corte,67.37,2025-08-25,Cartão
143,912,10,Asa Norte,Hidratação,60.63,2026-04-06,Cartão
144,2615,17,Asa Sul,Sobrancelha,31.16,2025-01-04,Pix
145,1627,3,Asa Norte,Corte,67.07,2025-03-21,Pix
146,414,9,Taguatinga,Corte,53.01,2025-04-11,Pix
147,931,23,Asa Norte,Corte,67.92,2026-03-30,Pix
148,1828,19,Asa Norte,Sobrancelha,25.44,2025-10-23,Dinheiro
149,2197,18,Asa Norte,Pigmentação,76.87,2024-10-29,Dinheiro
150,2383,40,Asa Norte,Barba,40.67,2025-10-08,Dinheiro
151,830,39,Asa Norte,Barba,26.29,2025-05-28,Pix
152,2695,31,Asa Sul,Sobrancelha,29.32,2024-09-12,Pix
153,1732,17,Taguatinga,Corte,63.93,2025-11-30,Cartão
154,1394,7,Asa Norte,Corte,48.95,2025-07-28,Dinheiro
155,2597,35,Asa Norte,Hidratação,101.52,2024-10-04,Dinheiro
156,864,38,Asa Norte,Sobrancelha,27.83,2025-04-26,Dinheiro
157,692,37,Taguatinga,Barba,38.37,2024-11-07,Cartão
158,191,8,Asa Norte,Pigmentação,60.66,2024-07-30,Pix
159,310,1,Asa Norte,Hidratação,67.72,2025-12-08,Dinheiro
160,46,16,Asa Sul,Pigmentação,74.3,2026-01-04,Pix
161,1896,38,Asa Sul,Barba,40.41,2026-01-21,Dinheiro
162,2878,38,Asa Norte,Pigmentação,76.32,2024-05-14,Cartão
163,563,28,Taguatinga,Corte,53.35,2025-05-14,Pix
164,1962,13,Taguatinga,Pigmentação,69.79,2024-08-19,Pix
165,1173,28,Ceilândia,Pigmentação,70.73,2026-03-23,Cartão
166,955,14,Taguatinga,Corte,49.34,2024-10-12,Dinheiro
167,2387,32,Asa Sul,Corte,68.25,2025-09-08,Pix
168,1441,28,Asa Sul,Corte,64.09,2026-03-27,Cartão
169,2762,16,Taguatinga,Corte,43.83,2024-12-09,Cartão
170,1227,2,Taguatinga,Corte,44.34,2024-08-07,Pix
171,2112,30,Asa Sul,Pigmentação,64.38,2025-10-29,Pix
172,302,8,Taguatinga,Pigmentação,51.02,2024-07-21,Dinheiro
173,1860,16,Asa Norte,Sobrancelha,21.07,2025-04-08,Dinheiro
174,2524,3,Ceilândia,Corte,58.93,2024-10-17,Cartão
175,1197,3,Asa Norte,Barba,43.74,2025-05-18,Cartão
176,1668,9,Asa Norte,Barba,33.75,2025-12-29,Pix
177,2892,8,Taguatinga,Barba,32.64,2025-06-20,Dinheiro
178,2961,18,Asa Sul,Sobrancelha,30.78,2026-01-15,Dinheiro
179,568,32,Taguatinga,Sobrancelha,22.66,2025-11-23,Pix
180,2637,20,Asa Norte,Hidratação,102.36,2024-07-01,Dinheiro
181,817,13,Taguatinga,Corte,61.35,2025-12-08,Cartão
182,2555,13,Asa Norte,Corte,69.93,2025-08-20,Cartão
183,2520,15,Asa Sul,Corte,57.11,2024-05-24,Pix
184,954,27,Asa Sul,Corte,51.68,2025-07-20,Pix
185,543,37,Taguatinga,Sobrancelha,20.05,2024-12-19,Dinheiro
186,146,22,Ceilândia,Pigmentação,75.31,2025-03-09,Cartão
187,2414,35,Ceilândia,Sobrancelha,26.23,2025-09-21,Cartão
188,1963,36,Asa Sul,Corte,63.44,2024-06-15,Dinheiro
189,2947,16,Taguatinga,Pigmentação,89.18,2025-11-08,Dinheiro
190,1409,24,Taguatinga,Hidratação,118.18,2024-07-20,Dinheiro
191,887,19,Ceilândia,Barba,41.44,2024-09-27,Dinheiro
192,1768,24,Ceilândia,Pigmentação,78.56,2024-06-15,Cartão
193,1838,29,Ceilândia,Pigmentação,58.47,2026-03-25,Dinheiro
194,909,12,Taguatinga,Sobrancelha,27.64,2025-11-10,Cartão
195,573,37,Asa Sul,Barba,39.77,2026-04-29,Dinheiro
196,2433,31,Ceilândia,Hidratação,86.31,2024-09-08,Dinheiro
197,2370,16,Asa Norte,Barba,27.75,2025-08-31,Dinheiro
198,1449,11,Ceilândia,Corte,59.19,2026-01-20,Cartão
199,663,13,Asa Norte,Hidratação,88.44,2026-04-03,Pix
200,1223,15,Asa Sul,Hidratação,77.23,2025-03-20,Pix
201,2933,17,Ceilândia,Hidratação,80.85,2024-08-21,Pix
202,1185,3,Asa Norte,Pigmentação,74.87,2024-05-15,Pix
203,2697,27,Taguatinga,Hidratação,112.47,2024-06-11,Cartão
204,474,1,Ceilândia,Pigmentação,60.85,2026-03-19,Dinheiro
205,2519,3,Asa Norte,Hidratação,69.71,2025-05-20,Dinheiro
206,2290,13,Asa Sul,Hidratação,96.79,2026-03-01,Pix
207,1366,21,Ceilândia,Pigmentação,86.7,2025-02-27,Cartão
208,427,38,Asa Sul,Hidratação,68.35,2025-04-04,Pix
209,1769,13,Asa Sul,Pigmentação,88.89,2025-06-13,Pix
210,1330,14,Asa Norte,Hidratação,63.74,2024-12-11,Cartão
211,1863,18,Ceilândia,Pigmentação,67.15,2026-02-08,Pix
212,525,11,Taguatinga,Hidratação,112.86,2025-12-01,Dinheiro
213,1173,12,Ceilândia,Hidratação,86.43,2024-11-11,Cartão
214,114,9,Ceilândia,Hidratação,65.34,2025-06-26,Pix
215,1932,24,Asa Sul,Corte,69.16,2025-10-10,Cartão
216,1018,13,Ceilândia,Sobrancelha,30.27,2024-06-18,Cartão
217,2501,34,Asa Norte,Hidratação,76.33,2025-09-27,Pix
218,1399,19,Asa Sul,Sobrancelha,26.6,2025-11-17,Cartão
219,2066,21,Ceilândia,Sobrancelha,22.8,2026-04-04,Dinheiro
220,2465,13,Asa Sul,Barba,44.39,2025-09-14,Pix
221,2053,19,Asa Sul,Barba,36.87,2025-02-16,Pix
222,2325,2,Taguatinga,Hidratação,80.89,2024-06-20,Pix
223,2953,17,Asa Sul,Pigmentação,51.53,2024-10-02,Cartão
224,2700,9,Asa Norte,Sobrancelha,23.49,2025-06-10,Dinheiro
225,2367,17,Taguatinga,Pigmentação,70.8,2025-04-15,Cartão
226,850,20,Asa Sul,Pigmentação,60.17,2024-06-09,Pix
227,1157,1,Taguatinga,Hidratação,118.05,2026-05-10,Cartão
228,2858,34,Asa Norte,Sobrancelha,34.37,2025-10-18,Dinheiro
229,2199,2,Asa Sul,Hidratação,115.14,2025-03-27,Pix
230,2230,40,Asa Sul,Pigmentação,73.02,2024-07-13,Cartão
231,2937,22,Asa Norte,Hidratação,90.29,2026-02-24,Cartão
232,1046,27,Asa Sul,Sobrancelha,25.21,2024-07-03,Cartão
233,796,9,Ceilândia,Barba,34.5,2025-12-18,Pix
234,2744,30,Asa Sul,Corte,47.6,2025-02-10,Dinheiro
235,1615,30,Asa Sul,Corte,47.8,2025-11-15,Dinheiro
236,2966,26,Asa Sul,Hidratação,119.62,2025-02-06,Dinheiro
237,2341,9,Asa Sul,Barba,35.53,2025-05-27,Dinheiro
238,2923,26,Taguatinga,Sobrancelha,23.6,2024-06-23,Pix
239,2327,4,Ceilândia,Hidratação,85.02,2026-04-05,Dinheiro
240,597,15,Taguatinga,Pigmentação,82.25,2025-09-11,Cartão
241,2497,32,Taguatinga,Barba,43.62,2024-10-03,Pix
242,1207,11,Asa Norte,Barba,39.67,2025-12-03,Cartão
243,620,19,Taguatinga,Hidratação,93.2,2024-10-24,Dinheiro
244,1322,29,Taguatinga,Hidratação,100.02,2025-04-19,Pix
245,1972,37,Asa Sul,Pigmentação,56.77,2025-03-23,Cartão
246,1278,38,Ceilândia,Sobrancelha,31.71,2024-06-27,Cartão
247,314,20,Asa Norte,Sobrancelha,24.54,2025-06-17,Dinheiro
248,1713,32,Asa Sul,Pigmentação,52.36,2025-12-28,Dinheiro
249,1832,10,Ceilândia,Sobrancelha,31.67,2025-08-10,Cartão
250,2117,6,Asa Sul,Hidratação,63.56,2024-09-06,Pix
251,1362,18,Asa Sul,Sobrancelha,31.67,2024-12-13,Dinheiro
252,1571,13,Taguatinga,Barba,43.28,2024-05-29,Pix
253,1683,8,Asa Norte,Sobrancelha,31.95,2024-07-07,Cartão
254,2575,21,Taguatinga,Sobrancelha,25.94,2024-11-23,Cartão
255,2382,20,Ceilândia,Barba,43.53,2026-04-12,Cartão
256,1415,40,Ceilândia,Hidratação,79.0,2025-01-20,Pix
257,859,37,Asa Norte,Barba,43.7,2024-10-20,Pix
258,1706,38,Asa Norte,Sobrancelha,33.09,2025-07-14,Dinheiro
259,1739,32,Ceilândia,Hidratação,91.83,2025-05-12,Cartão
260,2785,25,Taguatinga,Sobrancelha,27.71,2026-02-09,Dinheiro
261,2217,15,Asa Sul,Pigmentação,78.45,2026-01-04,Cartão
262,1063,25,Taguatinga,Hidratação,71.99,2025-12-12,Pix
263,2942,35,Ceilândia,Pigmentação,70.9,2024-07-28,Dinheiro
264,1934,38,Asa Sul,Sobrancelha,33.47,2026-02-18,Pix
265,2768,35,Ceilândia,Barba,36.8,2024-10-17,Pix
266,2351,22,Asa Sul,Barba,35.45,2025-05-22,Dinheiro
267,1432,17,Ceilândia,Hidratação,90.13,2025-03-10,Pix
268,1571,8,Ceilândia,Pigmentação,60.52,2025-09-13,Cartão
269,1063,28,Asa Norte,Corte,63.52,2024-05-27,Pix
270,2447,39,Asa Sul,Pigmentação,80.28,2026-03-09,Dinheiro
271,128,6,Asa Sul,Hidratação,97.79,2025-10-10,Dinheiro
272,1917,34,Asa Sul,Corte,59.76,2026-04-15,Pix
273,2032,23,Asa Sul,Pigmentação,78.1,2024-07-03,Cartão
274,1596,28,Asa Norte,Pigmentação,70.89,2025-07-16,Pix
275,2578,2,Asa Sul,Sobrancelha,23.72,2024-12-31,Cartão
276,1134,9,Ceilândia,Hidratação,63.77,2025-03-29,Pix
277,65,20,Asa Sul,Corte,60.45,2026-03-01,Pix
278,474,30,Ceilândia,Pigmentação,77.22,2026-03-04,Cartão
279,2237,14,Asa Norte,Pigmentação,60.36,2025-02-20,Dinheiro
280,1065,27,Asa Norte,Barba,26.47,2025-06-14,Pix
281,2628,35,Asa Sul,Corte,58.48,2026-02-18,Pix
282,575,18,Asa Sul,Sobrancelha,29.66,2025-07-15,Dinheiro
283,845,23,Asa Sul,Pigmentação,77.4,2026-03-01,Dinheiro
284,2930,23,Asa Sul,Hidratação,79.92,2025-10-20,Pix
285,2170,8,Asa Sul,Sobrancelha,25.83,2026-03-24,Dinheiro
286,1265,32,Asa Norte,Corte,40.05,2024-08-31,Pix
287,1595,16,Taguatinga,Hidratação,107.73,2024-10-28,Cartão
288,2209,12,Asa Norte,Sobrancelha,32.45,2025-07-02,Pix
289,2333,21,Asa Sul,Pigmentação,52.31,2026-01-01,Dinheiro
290,1453,26,Taguatinga,Hidratação,109.18,2025-04-11,Pix
291,982,1,Asa Norte,Barba,25.51,2025-10-12,Dinheiro
292,611,9,Asa Sul,Corte,44.25,2026-03-13,Dinheiro
293,2258,8,Taguatinga,Pigmentação,81.89,2024-05-21,Dinheiro
294,932,36,Taguatinga,Barba,43.98,2025-05-17,Cartão
295,2609,38,Asa Sul,Pigmentação,86.9,2025-04-09,Dinheiro
296,1495,35,Asa Sul,Corte,58.34,2025-01-22,Dinheiro
297,4,35,Ceilândia,Corte,47.61,2024-12-19,Cartão
298,1945,34,Asa Norte,Corte,58.51,2025-02-09,Dinheiro
299,2245,16,Asa Norte,Pigmentação,53.11,2025-11-10,Dinheiro
300,593,15,Asa Sul,Corte,63.45,2026-04-14,Pix
301,5,2,Taguatinga,Sobrancelha,30.76,2025-10-31,Dinheiro
302,2611,38,Ceilândia,Sobrancelha,24.03,2025-05-13,Dinheiro
303,586,29,Ceilândia,Corte,54.57,2024-07-27,Pix
304,2523,33,Taguatinga,Barba,37.66,2026-04-20,Cartão
305,1909,40,Taguatinga,Pigmentação,86.29,2025-04-14,Dinheiro
306,1123,3,Asa Norte,Barba,36.43,2025-04-17,Dinheiro
307,522,18,Ceilândia,Corte,69.8,2025-12-23,Dinheiro
308,2778,28,Taguatinga,Sobrancelha,30.96,2025-05-05,Dinheiro
309,1284,6,Asa Sul,Barba,39.83,2025-09-26,Cartão
310,2659,20,Asa Sul,Corte,64.79,2025-01-01,Dinheiro
311,2996,13,Asa Sul,Sobrancelha,33.13,2025-03-26,Pix
312,2777,9,Asa Sul,Sobrancelha,32.95,2024-06-23,Pix
313,1476,24,Taguatinga,Pigmentação,66.66,2025-04-03,Pix
314,2367,5,Asa Norte,Sobrancelha,24.02,2025-10-20,Cartão
315,1089,1,Asa Norte,Barba,42.91,2024-07-03,Pix
316,763,29,Asa Norte,Pigmentação,80.31,2025-11-28,Pix
317,261,39,Ceilândia,Pigmentação,71.23,2025-07-04,Pix
318,204,32,Taguatinga,Barba,29.89,2025-04-16,Pix
319,1215,31,Taguatinga,Barba,33.52,2026-03-19,Dinheiro
320,1655,1,Ceilândia,Pigmentação,75.81,2025-02-07,Pix
321,1953,32,Asa Sul,Pigmentação,68.2,2025-01-24,Dinheiro
322,2497,6,Asa Sul,Hidratação,93.61,2025-10-27,Cartão
323,2558,24,Asa Sul,Hidratação,106.69,2026-04-05,Cartão
324,1620,20,Ceilândia,Pigmentação,58.45,2025-04-22,Cartão
325,2282,38,Asa Sul,Barba,34.09,2025-01-29,Cartão
326,2821,29,Ceilândia,Pigmentação,88.41,2025-04-10,Pix
327,2842,31,Asa Sul,Hidratação,102.71,2024-09-15,Dinheiro
328,2224,18,Taguatinga,Sobrancelha,31.65,2025-02-14,Cartão
329,1876,2,Taguatinga,Corte,54.05,2025-01-02,Pix
330,1115,28,Asa Sul,Pigmentação,70.33,2024-12-09,Cartão
331,2018,35,Ceilândia,Pigmentação,66.15,2026-01-25,Dinheiro
332,1354,31,Taguatinga,Corte,40.39,2025-11-04,Pix
333,1241,36,Taguatinga,Corte,53.22,2024-10-04,Pix
334,829,5,Asa Sul,Barba,28.49,2024-10-31,Cartão
335,356,8,Asa Sul,Pigmentação,71.32,2026-02-09,Cartão
336,1097,12,Ceilândia,Sobrancelha,20.32,2024-06-14,Cartão
337,486,31,Asa Sul,Barba,31.26,2025-09-20,Cartão
338,2717,4,Asa Norte,Sobrancelha,26.11,2026-02-25,Cartão
339,1543,39,Asa Norte,Corte,64.81,2025-12-25,Cartão
340,1406,19,Asa Norte,Barba,44.86,2024-09-03,Dinheiro
341,171,1,Ceilândia,Sobrancelha,31.2,2025-01-24,Pix
342,2926,31,Asa Sul,Pigmentação,88.8,2024-08-24,Cartão
343,861,14,Asa Norte,Sobrancelha,23.77,2024-11-20,Pix
344,162,11,Taguatinga,Hidratação,62.42,2025-11-19,Pix
345,2681,10,Ceilândia,Hidratação,104.59,2025-08-04,Dinheiro
346,2184,7,Asa Norte,Hidratação,99.25,2024-09-06,Cartão
347,837,1,Ceilândia,Pigmentação,57.0,2024-07-23,Cartão
348,1191,22,Asa Sul,Hidratação,72.0,2024-05-20,Dinheiro
349,1229,37,Ceilândia,Barba,32.35,2024-07-28,Cartão
350,1664,5,Ceilândia,Pigmentação,84.44,2025-10-26,Pix
351,2599,4,Ceilândia,Hidratação,106.91,2024-05-16,Cartão
352,717,32,Asa Norte,Barba,35.75,2026-02-25,Dinheiro
353,688,18,Taguatinga,Corte,60.55,2026-03-26,Pix
354,2035,24,Ceilândia,Sobrancelha,29.22,2026-05-02,Cartão
355,1209,12,Taguatinga,Barba,25.61,2024-07-05,Cartão
356,499,9,Taguatinga,Sobrancelha,29.53,2025-09-06,Dinheiro
357,1983,23,Taguatinga,Hidratação,73.31,2024-11-17,Pix
358,2041,21,Asa Norte,Barba,28.05,2025-11-05,Pix
359,2374,1,Asa Norte,Pigmentação,58.8,2024-08-28,Dinheiro
360,139,21,Asa Sul,Sobrancelha,21.54,2024-09-20,Dinheiro
361,1550,6,Asa Norte,Pigmentação,85.88,2025-01-20,Cartão
362,462,23,Asa Sul,Hidratação,81.69,2025-01-20,Pix
363,1449,1,Ceilândia,Corte,48.77,2025-04-21,Dinheiro
364,823,31,Asa Norte,Hidratação,82.02,2024-05-29,Cartão
365,568,34,Taguatinga,Pigmentação,82.9,2026-05-03,Cartão
366,1908,37,Ceilândia,Hidratação,67.82,2025-04-08,Cartão
367,800,33,Asa Sul,Sobrancelha,34.58,2024-10-24,Pix
368,112,35,Asa Norte,Pigmentação,67.01,2025-09-03,Pix
369,1876,32,Taguatinga,Pigmentação,70.48,2026-01-03,Pix
370,1059,27,Taguatinga,Pigmentação,64.31,2025-09-26,Dinheiro
371,1770,27,Taguatinga,Sobrancelha,32.38,2025-11-15,Dinheiro
372,686,37,Asa Norte,Hidratação,84.72,2026-03-21,Pix
373,1520,27,Asa Norte,Barba,35.65,2026-04-20,Dinheiro
374,1136,20,Ceilândia,Pigmentação,74.09,2025-03-09,Cartão
375,721,2,Asa Sul,Hidratação,104.88,2024-12-07,Cartão
376,1832,21,Taguatinga,Barba,32.69,2025-11-19,Dinheiro
377,2912,26,Asa Sul,Hidratação,83.96,2025-03-02,Pix
378,1728,29,Ceilândia,Barba,37.75,2024-09-07,Dinheiro
379,2003,30,Taguatinga,Corte,58.21,2025-07-02,Dinheiro
380,2220,20,Taguatinga,Corte,40.77,2026-04-26,Pix
381,1092,6,Asa Sul,Hidratação,109.52,2025-02-12,Pix
382,2315,37,Taguatinga,Hidratação,96.43,2024-11-21,Pix
383,2128,20,Asa Norte,Hidratação,66.54,2024-06-04,Dinheiro
384,1052,17,Ceilândia,Barba,41.98,2025-03-17,Pix
385,151,22,Asa Sul,Corte,46.85,2025-03-08,Cartão
386,564,8,Asa Sul,Corte,47.92,2024-12-27,Pix
387,2707,18,Asa Sul,Sobrancelha,21.4,2024-07-29,Pix
